router,granularity,model,horizon_hours,training_time_sec,MAE,RMSE,sMAPE,R2,MSLE,P99_abs_error
dallas,5min,hybrid_gru_lstm,1,73.35059118270874,13834146.967849225,15890464.57818817,83.320575497722,-0.9344619828893916,1.934680004015723,33714074.48000002
dallas,5min,hybrid_gru_lstm,6,73.35059118270874,71567928.70509978,72681374.62911363,145.8321599747272,-39.39355938689819,5.723125035722944,105590709.68
dallas,5min,hybrid_gru_lstm,12,73.35059118270874,42426010.54545455,43953356.416269705,125.96544831506162,-14.01011891262494,4.126408531499118,56771040.4
dallas,5min,hybrid_gru_lstm,24,73.35059118270874,49515711.57427938,50652739.4653474,132.87787197459002,-19.47532663023574,4.683916131491582,69236798.48
dallas,5min,gru_only,1,56.540690183639526,40753804.34146342,42273875.107382946,125.04864804204936,-12.690872628014285,4.024807181588399,61759375.2
dallas,5min,gru_only,6,56.540690183639526,89676986.691796,90979011.45708777,152.9766180824304,-62.29192226927686,6.63429633739012,111529833.68
dallas,5min,gru_only,12,56.540690183639526,30599998.39135255,33080189.521629024,111.67376257817949,-7.502292101359094,3.3850680662040746,49531787.68
dallas,5min,gru_only,24,56.540690183639526,37611910.11086474,38883196.737820804,122.19151392850563,-11.065598993917627,3.896607478563989,55900593.36
dallas,5min,lstm_only,1,84.74535942077637,46776566.79379158,48137333.45732841,130.33979562048262,-16.752154468957105,4.4482769988396615,61138041.84
dallas,5min,lstm_only,6,84.74535942077637,68557603.87583148,69506379.97293526,144.38225416183877,-35.94155726966302,5.576248477059985,82402817.28
dallas,5min,lstm_only,12,84.74535942077637,71050843.5210643,71976817.60657461,145.9166508645828,-39.2518017338224,5.731403401033595,84640525.91999997
dallas,5min,lstm_only,24,84.74535942077637,62031044.0,62967393.4296175,141.47505793037075,-30.641451173746013,5.406329607301417,75645019.92
dallas,5min,nhits,1,2.2338483333587646,12552273.737388052,15678851.204818781,118.19026289984487,-0.8832825711473002,49.123475296877075,38708098.339062504
dallas,5min,nhits,6,2.2338483333587646,10246574.804968992,13464424.690303015,82.78692833068416,-0.386249689430918,18.61823611225176,39245759.28
dallas,5min,nhits,12,2.2338483333587646,35172424.324833706,37382888.26339407,117.85922897443758,-9.857897775639525,3.620103499555596,56368657.04000001
dallas,5min,nhits,24,2.2338483333587646,21029869.541019958,24647708.790401474,94.7176383655479,-3.8481725706499006,2.534024947323735,52687643.12000001
dallas,15min,hybrid_gru_lstm,1,5.8426289558410645,71341518.31229235,77569943.38280948,98.7380801330017,-6.052595343291734,1.987459230463301,124173542.8
dallas,15min,hybrid_gru_lstm,6,5.8426289558410645,226191742.29900333,227972188.4701176,146.8159021822492,-59.4340752120928,4.724596349691493,262274073.12
dallas,15min,hybrid_gru_lstm,12,5.8426289558410645,262616822.1395349,264187069.06615275,152.36381226588404,-82.22488432191872,5.283126933638274,299746292.0
dallas,15min,hybrid_gru_lstm,24,5.8426289558410645,120720358.35215947,123563235.14600582,122.33748800323036,-17.737045543763877,3.0658646121815845,162366567.76
dallas,15min,gru_only,1,9.23257851600647,83416444.74418604,88143535.88985595,105.93854810973977,-8.106320968842937,2.1960553751223966,142730563.6
dallas,15min,gru_only,6,9.23257851600647,183241446.53820598,186566344.43290624,138.32831980121364,-39.47480342554599,4.055498352775448,233689221.28
dallas,15min,gru_only,12,9.23257851600647,133936597.44850498,136798938.58683068,126.2978069918498,-21.314930682962824,3.1920445195384093,175672526.0
dallas,15min,gru_only,24,9.23257851600647,146318564.27906978,148263203.65118763,130.76084941029794,-25.976731629518234,3.5257033222170713,189833539.52
dallas,15min,lstm_only,1,10.122357368469238,107751252.02657807,112397672.64790502,116.7327692493184,-13.807326560879725,2.7225821759437974,170578595.12
dallas,15min,lstm_only,6,10.122357368469238,181398745.30232558,183573940.1552512,138.47708353891556,-38.18683633749466,4.004639062743292,219502573.92000002
dallas,15min,lstm_only,12,10.122357368469238,204107479.3089701,206220691.18177998,143.1712761553961,-49.710111202256606,4.405904890049837,242198017.28
dallas,15min,lstm_only,24,10.122357368469238,114482299.08305648,116894844.13475706,120.40728367794888,-15.769236271855306,2.908101924447493,163359612.48
dallas,15min,nhits,1,0.9878804683685303,35581202.757475086,45063089.31072703,68.37931862424837,-1.3801478767120372,1.0186653520882822,107151140.08000001
dallas,15min,nhits,6,0.9878804683685303,35062698.1809593,40033964.706203714,74.38010475592586,-0.8636971794861807,11.640617127369238,92749110.60000002
dallas,15min,nhits,12,0.9878804683685303,61277943.967607975,68459696.78885123,95.65726522328023,-4.588561431847413,13.571572621845243,122214661.08000009
dallas,15min,nhits,24,0.9878804683685303,102198660.13953489,107652025.81217647,113.81153253287147,-13.222206663003808,2.650206170293975,167300105.20000002
dallas,30min,hybrid_gru_lstm,1,3.0893142223358154,271150633.3774834,278490134.46627563,125.81862701711333,-24.950823037551164,3.020108828793175,384484874.08
dallas,30min,hybrid_gru_lstm,6,3.0893142223358154,444555388.18543047,447588495.82176006,145.79703863708687,-65.16528282101953,4.37959564162299,509993558.56
dallas,30min,hybrid_gru_lstm,12,3.0893142223358154,399275044.18543047,403421555.7348268,141.8447668353513,-54.69123727161407,4.06950587172664,469262994.16
dallas,30min,hybrid_gru_lstm,24,3.0893142223358154,292503263.57615894,296410829.24899644,130.04683055517953,-29.588484112469406,3.3669414300506615,387292242.40000004
dallas,30min,gru_only,1,3.2466201782226562,215825004.34437087,223352543.0539814,116.15085847104605,-15.69218962565299,2.482317241373052,326870279.52
dallas,30min,gru_only,6,3.2466201782226562,421803056.8476821,426714675.8546842,143.5545201660918,-59.137795167046804,4.208202864701469,572611456.72
dallas,30min,gru_only,12,3.2466201782226562,154033247.73509935,165279151.51875204,100.49719237351378,-8.347701082458032,1.8976664257050813,229262335.52
dallas,30min,gru_only,24,3.2466201782226562,338962779.9735099,342674121.83442396,136.03495085270956,-39.88202874262571,3.7827337709023996,426259125.92
dallas,30min,lstm_only,1,4.953435897827148,239626624.47682118,247303062.12533012,120.50051919019735,-19.463998446273195,2.732092435480317,344765497.04
dallas,30min,lstm_only,6,4.953435897827148,273221297.9072848,278158300.480257,126.12062906647026,-24.5538529060157,2.98039530601954,341018184.16
dallas,30min,lstm_only,12,4.953435897827148,271046269.8278146,277367215.7807382,125.78940239221434,-25.32563896685243,2.997128564513311,340775684.8
dallas,30min,lstm_only,24,4.953435897827148,358042088.90066224,361392937.80304277,138.272853010818,-44.47043879784297,3.9441795365262773,444249240.48
dallas,30min,nhits,1,0.45697855949401855,52634177.7218543,69724301.15221272,56.24973728251841,-0.6266714579390011,0.6477845363980013,176324437.80000004
dallas,30min,nhits,6,0.45697855949401855,85089276.97350994,96369405.24124981,78.35131305993805,-2.067260766315716,7.314788897873331,154070113.12
dallas,30min,nhits,12,0.45697855949401855,128548256.09426738,138065244.1263255,95.06403619422746,-5.522850084340517,2.748635500339937,208047179.44
dallas,30min,nhits,24,0.45697855949401855,307925864.2649007,311604767.72989845,132.34263300793538,-32.80477193155378,3.481053873231189,407130512.64
dallas,45min,hybrid_gru_lstm,1,2.208400011062622,193781360.990099,210389223.25216526,92.54261066690168,-6.3043678619389105,1.4589462192217049,315356368.96000004
dallas,45min,hybrid_gru_lstm,6,2.208400011062622,446885131.56435645,452551304.09264344,129.56568908941077,-31.916600038196876,2.968740010200318,526992094.48
dallas,45min,hybrid_gru_lstm,12,2.208400011062622,209143819.92079207,224410575.76695675,95.72211729069538,-7.3690062360661575,1.5569545311992095,297272510.96000004
dallas,45min,hybrid_gru_lstm,24,2.208400011062622,482499534.5346535,487877315.83036596,133.2562483367609,-39.346102434584864,3.2395727451536924,580636354.96
